	wix
2016-09-30	43.43
2016-10-03	43.09
2016-10-04	43.98
2016-10-05	43.84
2016-10-06	43.580002
2016-10-07	43.130001
2016-10-10	43.900002
2016-10-11	43.950001
2016-10-12	44.0
2016-10-13	43.599998
2016-10-14	43.75
2016-10-17	43.900002
2016-10-18	44.200001
2016-10-19	46.400002
2016-10-20	44.799999
2016-10-21	44.849998
2016-10-24	45.700001
2016-10-25	44.400002
2016-10-26	42.700001
2016-10-27	41.299999
2016-10-28	41.200001
2016-10-31	40.0
2016-11-01	41.0
2016-11-02	39.049999
2016-11-03	39.0
2016-11-04	39.049999
2016-11-07	40.200001
2016-11-08	40.799999
2016-11-09	42.599998
2016-11-10	47.849998
2016-11-11	49.450001
2016-11-14	46.75
2016-11-15	46.099998
2016-11-16	47.150002
2016-11-17	48.650002
2016-11-18	51.400002
2016-11-21	50.950001
2016-11-22	51.450001
2016-11-23	52.099998
2016-11-24	52.099998
2016-11-25	51.549999
2016-11-28	51.049999
2016-11-29	51.049999
2016-11-30	49.5
2016-12-01	47.5
2016-12-02	46.400002
2016-12-05	48.400002
2016-12-06	48.049999
2016-12-07	47.900002
2016-12-08	47.849998
2016-12-09	46.900002
2016-12-12	44.799999
2016-12-13	44.049999
2016-12-14	44.099998
2016-12-15	44.799999
2016-12-16	44.299999
2016-12-19	43.450001
2016-12-20	43.75
2016-12-21	43.5
2016-12-22	43.349998
2016-12-23	43.549999
2016-12-26	43.549999
2016-12-27	43.650002
2016-12-28	43.349998
2016-12-29	44.75
2016-12-30	44.549999
2017-01-02	44.549999
2017-01-03	44.950001
2017-01-04	46.200001
2017-01-05	47.0
2017-01-06	47.450001
2017-01-09	47.900002
2017-01-10	48.5
2017-01-11	51.0
2017-01-12	50.349998
2017-01-13	50.650002
2017-01-16	50.650002
2017-01-17	51.049999
2017-01-18	52.5
2017-01-19	54.049999
2017-01-20	53.450001
2017-01-23	53.75
2017-01-24	55.299999
2017-01-25	56.200001
2017-01-26	55.049999
2017-01-27	54.700001
2017-01-30	53.25
2017-01-31	52.549999
2017-02-01	52.25
2017-02-02	51.450001
2017-02-03	52.200001
2017-02-06	51.900002
2017-02-07	51.900002
2017-02-08	52.849998
2017-02-09	54.349998
2017-02-10	53.349998
2017-02-13	52.950001
2017-02-14	52.950001
2017-02-15	61.5
2017-02-16	62.950001
2017-02-17	63.849998
2017-02-20	63.849998
2017-02-21	65.550003
2017-02-22	65.550003
2017-02-23	63.25
2017-02-24	65.050003
2017-02-27	64.050003
2017-02-28	62.299999
2017-03-01	62.75
2017-03-02	62.099998
2017-03-03	61.400002
2017-03-06	62.25
2017-03-07	63.849998
2017-03-08	63.5
2017-03-09	64.300003
2017-03-10	65.900002
2017-03-13	68.099998
2017-03-14	69.25
2017-03-15	68.5
2017-03-16	68.800003
2017-03-17	68.599998
2017-03-20	68.949997
2017-03-21	67.099998
2017-03-22	67.150002
2017-03-23	66.0
2017-03-24	66.650002
2017-03-27	66.150002
2017-03-28	66.300003
2017-03-29	66.75
2017-03-30	65.849998
2017-03-31	67.900002
2017-04-03	74.75
2017-04-04	75.199997
2017-04-05	75.900002
2017-04-06	76.300003
2017-04-07	76.25
2017-04-10	76.300003
2017-04-11	76.5
2017-04-12	74.599998
2017-04-13	75.0
2017-04-14	75.0
2017-04-17	73.400002
2017-04-18	70.550003
2017-04-19	69.699997
2017-04-20	68.900002
2017-04-21	70.599998
2017-04-24	73.599998
2017-04-25	82.25
2017-04-26	82.25
2017-04-27	81.199997
2017-04-28	82.449997
2017-05-01	81.400002
2017-05-02	75.449997
2017-05-03	75.400002
2017-05-04	76.199997
2017-05-05	73.300003
2017-05-08	75.300003
2017-05-09	74.150002
2017-05-10	77.449997
2017-05-11	74.199997
2017-05-12	78.300003
2017-05-15	78.400002
2017-05-16	76.849998
2017-05-17	72.150002
2017-05-18	73.800003
2017-05-19	73.949997
2017-05-22	76.300003
2017-05-23	73.449997
2017-05-24	75.349998
2017-05-25	76.099998
2017-05-26	77.25
2017-05-29	77.25
2017-05-30	74.75
2017-05-31	73.699997
2017-06-01	73.75
2017-06-02	76.650002
2017-06-05	75.550003
2017-06-06	77.75
2017-06-07	79.449997
2017-06-08	78.849998
2017-06-09	73.75
2017-06-12	70.550003
2017-06-13	73.150002
2017-06-14	70.5
2017-06-15	68.900002
2017-06-16	69.25
2017-06-19	71.849998
2017-06-20	70.75
2017-06-21	72.300003
2017-06-22	72.800003
2017-06-23	76.949997
2017-06-26	72.550003
2017-06-27	71.150002
2017-06-28	73.349998
2017-06-29	69.5
2017-06-30	69.599998
2017-07-03	69.199997
2017-07-04	69.199997
2017-07-05	70.25
2017-07-06	69.300003
2017-07-07	70.300003
2017-07-10	69.400002
2017-07-11	71.400002
2017-07-12	74.150002
2017-07-13	73.849998
2017-07-14	73.849998
2017-07-17	73.900002
2017-07-18	73.099998
2017-07-19	76.150002
2017-07-20	73.199997
2017-07-21	73.099998
2017-07-24	75.650002
2017-07-25	75.949997
2017-07-26	76.849998
2017-07-27	73.599998
2017-07-28	63.900002
2017-07-31	61.700001
2017-08-01	62.349998
2017-08-02	61.650002
2017-08-03	62.75
2017-08-04	60.25
2017-08-07	58.599998
2017-08-08	58.650002
2017-08-09	58.599998
2017-08-10	56.900002
2017-08-11	57.700001
2017-08-14	60.5
2017-08-15	58.150002
2017-08-16	60.0
2017-08-17	59.799999
2017-08-18	60.150002
2017-08-21	59.049999
2017-08-22	60.650002
2017-08-23	60.650002
2017-08-24	60.950001
2017-08-25	60.200001
2017-08-28	60.549999
2017-08-29	61.0
2017-08-30	64.050003
2017-08-31	65.099998
2017-09-01	64.449997
2017-09-04	64.449997
2017-09-05	65.800003
2017-09-06	65.150002
2017-09-07	66.150002
2017-09-08	65.300003
2017-09-11	67.199997
2017-09-12	68.349998
2017-09-13	68.150002
2017-09-14	69.050003
2017-09-15	69.550003
2017-09-18	69.800003
2017-09-19	70.150002
2017-09-20	69.199997
2017-09-21	68.650002
2017-09-22	68.400002
2017-09-25	67.050003
2017-09-26	67.349998
2017-09-27	70.099998
2017-09-28	70.599998
2017-09-29	71.849998
2017-10-02	71.400002
2017-10-03	70.800003
2017-10-04	69.150002
2017-10-05	70.300003
2017-10-06	68.900002
2017-10-09	67.900002
2017-10-10	68.449997
2017-10-11	69.449997
2017-10-12	69.5
2017-10-13	68.849998
2017-10-16	68.900002
2017-10-17	69.349998
2017-10-18	69.550003
2017-10-19	68.099998
2017-10-20	69.199997
2017-10-23	69.199997
2017-10-24	69.75
2017-10-25	67.75
2017-10-26	67.550003
2017-10-27	68.199997
2017-10-30	69.849998
2017-10-31	69.800003
2017-11-01	70.5
2017-11-02	70.449997
2017-11-03	69.650002
2017-11-06	70.599998
2017-11-07	69.349998
2017-11-08	60.025002
2017-11-09	56.599998
2017-11-10	55.650002
2017-11-13	55.0
2017-11-14	53.799999
2017-11-15	54.099998
2017-11-16	56.900002
2017-11-17	56.150002
2017-11-20	55.400002
2017-11-21	54.349998
2017-11-22	55.200001
2017-11-23	55.200001
2017-11-24	54.849998
2017-11-27	56.349998
